,0
1952Q1,557468.3125
1953Q1,630467.125
1954Q1,586751.375
1955Q1,641581.4375
1956Q1,695460.25
1957Q1,718725.3125
1958Q1,739635.3125
1959Q1,724461.0625
1960Q1,689786.875
1961Q1,558305.375
1962Q1,591366.25
1963Q1,677432.875
1964Q1,771682.9375
1965Q1,857507.25
1966Q1,885350.75
1967Q1,889345.4375
1968Q1,865986.375
1969Q1,953460.25
1970Q1,1085341.125
1971Q1,1182455.75
1972Q1,1173581.875
1973Q1,1261324.375
1974Q1,1299351.25
1975Q1,1391712.0
1976Q1,1349881.875
1977Q1,1428767.0
1978Q1,1594763.125
1979Q1,1719783.125
1980Q1,1804728.625
1981Q1,1861601.125
1982Q1,2031704.875
1983Q1,2178264.75
1984Q1,2414971.0
1985Q1,2602347.25
1986Q1,2780601.0
1987Q1,3008488.0
1988Q1,3142030.0
1989Q1,3153668.75
1990Q1,3165272.0
1991Q1,3300483.75
1992Q1,3556377.75
1993Q1,3920962.75
1994Q1,4256331.0
1995Q1,4657186.5
1996Q1,4990733.0
1997Q1,5274995.0
1998Q1,5305999.5
1999Q1,5573186.0
2000Q1,5962253.0
2001Q1,6370915.0
2002Q1,6969823.0
2003Q1,7496914.0
2004Q1,8225812.5
2005Q1,9019761.0
2006Q1,9982318.0
2007Q1,10976751.0
2008Q1,11616248.0
2009Q1,12577917.0
2010Q1,13947309.0
2011Q1,14918415.0
2011Q2,14918415.0
2011Q3,14918415.0
2011Q4,14918415.0
2012Q1,15416000.0
2012Q2,15416000.0
2012Q3,15416000.0
2012Q4,15416000.0
2013Q1,16562428.0
2013Q2,16562428.0
2013Q3,16562428.0
2013Q4,16562428.0
2014Q1,17711682.0
2014Q2,17711682.0
2014Q3,17711682.0
2014Q4,17711682.0
2015Q1,18379366.0
2015Q2,18379366.0
2015Q3,18379366.0
2015Q4,18379366.0
2016Q1,19132416.0
2016Q2,19132416.0
2016Q3,19132416.0
2016Q4,19132416.0
2017Q1,19687162.0
2017Q2,19687162.0
2017Q3,19687162.0
2017Q4,19687162.0
2018Q1,19841296.0
2018Q2,19841296.0
2018Q3,19841296.0
2018Q4,19841296.0
2019Q1,20572606.0
2019Q2,20572606.0
2019Q3,20572606.0
2019Q4,20572606.0
