,0
1999Q1,3.0
1999Q2,2.5
1999Q3,2.5
1999Q4,3.0
2000Q1,3.5
2000Q2,.
2000Q3,.
2000Q4,.
2001Q1,.
2001Q2,.
2001Q3,.
2001Q4,.
2002Q1,.
2002Q2,.
2002Q3,.
2002Q4,.
2003Q1,.
2003Q2,.
2003Q3,.
2003Q4,.
2004Q1,.
2004Q2,.
2004Q3,.
2004Q4,.
2005Q1,.
2005Q2,.
2005Q3,.
2005Q4,.
2006Q1,.
2006Q2,.
2006Q3,.
2006Q4,.
2007Q1,.
2007Q2,.
2007Q3,.
2007Q4,.
2008Q1,.
2008Q2,.
2008Q3,.
2008Q4,2.5
2009Q1,1.5
2009Q2,1.0
2009Q3,1.0
2009Q4,1.0
2010Q1,1.0
2010Q2,1.0
2010Q3,1.0
2010Q4,1.0
2011Q1,1.0
2011Q2,1.25
2011Q3,1.5
2011Q4,1.0
2012Q1,1.0
2012Q2,1.0
2012Q3,0.75
2012Q4,0.75
2013Q1,0.75
2013Q2,0.5
2013Q3,0.5
2013Q4,0.25
2014Q1,0.25
2014Q2,0.15
2014Q3,0.05
2014Q4,0.05
2015Q1,0.05
2015Q2,0.05
2015Q3,0.05
2015Q4,0.05
2016Q1,0.0
2016Q2,0.0
2016Q3,0.0
2016Q4,0.0
2017Q1,0.0
2017Q2,0.0
2017Q3,0.0
2017Q4,0.0
2018Q1,0.0
2018Q2,0.0
2018Q3,0.0
2018Q4,0.0
2019Q1,0.0
2019Q2,0.0
2019Q3,0.0
2019Q4,0.0
2020Q1,0.0
2020Q2,0.0
2020Q3,0.0
2020Q4,0.0
2021Q1,0.0
2021Q2,0.0
2021Q3,0.0
2021Q4,0.0
2022Q1,0.0
2022Q2,0.0
2022Q3,1.25
2022Q4,2.5
2023Q1,3.5
2023Q2,3.5
