"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9661590524535","20.1619433198381","23.5959153902261","21.9724924521972","21.8547341115435","21.413659409484","24.8306332842415","24.8861047835991","24.4329051653457","22.8939544103072","22.8456439393939","22.3252657769735","21.4062174003755","21.2418942817842","24.8304528549552","26.4571948998178","25.1164760694621","26.1696218756676","26.192914192095","24.8198558847078","23.2466063348416","23.4787492978843","23.0171635049684","23.5519888346127","21.9682157929625","26.900165527301","21.604164950248",
"Africa Eastern and Southern","AFE","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","6.77896842030604","7.32616256744861","7.75275619775217","6.97722658588372","8.77822948509287","8.6396169871272","8.78351126737737","9.21088759054314","9.37716759855236","9.29311083016755","9.67978167034452","10.2266277428133","9.80202812387258","9.24770483045225","9.37458520328116","10.3464685275852","10.8077762608994","10.5903242949269","11.2600698001172","11.9731332470394","12.6287833295935","12.9038992055891","13.2186467021058","13.1446441909576","14.2557506481531","13.9455524381073","14.5780354635825","15.5554920152438","14.7428249765069","14.0417489024851","14.472890874244","14.8112320302678","16.8976180433116","16.7473208510205","17.3943304931329","16.0275757571764","16.4596858066895","16.4407006966042","16.3337280114417","16.2870153133084","15.2394298988502","15.4722311356265","15.2081811693934","16.0193070824948","15.9455267458284","15.2348358885301","14.7047189111447","14.7358412888541","14.9867905485402","15.5229128565289","15.6726187054225","16.2179442183799","16.5411959900828","16.9669896648509","16.5647144852846","16.4074966827021","16.4809950724042","16.0321164944269","15.3134086075093","15.2421529056864","15.6129390760372","15.0099012358574",
"Afghanistan","AFG","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","4.06870490599343","4.42807626008928","5.13995414169013","5.64206295992223","5.68951181381029","7.7515410980729","8.17445218792487","8.13427324411736","8.26228303955014","8.33413145852526","8.59686872457708","9.19499329669831","10.5977141953835","7.95938059224726","6.98771483389517","6.35282624933922","6.0694790883788","6.60726679322172","6.10320345569804","5.92633218268435","6.11818857674253","5.49361352446444","5.53424116089568","7.44265943447563","7.00796730493331","7.11093103897925","10.0972364668734","9.97483473069372","9.84191008218527","9.79885760543254","10.2581298235974","9.85127470594383","9.08947479092997","8.55422796166962","8.24781663218324","8.25294829516739","7.79545573434128","8.34345894538862","8.25968029751627","10.5532494107765","8.73085621589025",
"Angola","AGO","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.1546327243358","19.1305785372378","21.8542597859949","14.3120629446155","16.0290371753303","15.3417224061598","15.5369347037304","16.8146115372764","19.8985860825078","17.0423458554536","18.2358592210108","17.8426333032037","21.6219487315047","17.9756586545567","16.4328328348133","13.8806850814508","12.9358193168237","10.4745435629873","8.59885628389892","8.68326140931662","7.93829251214106",
"Albania","ALB","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","9.3116515041052","8.84353390708875","8.89861279321276","9.09399523742266","9.75153050082957","9.63955140756505","9.61342983715576","9.99617333989332","9.80506206927652","9.13190329724955","19.1885468896252","22.8753325986112","21.4082882933696","14.6384098004022","14.6234019156112","13.8271152568861","9.45360226582805","10.4480085958156","10.8444061031888","11.0555755938989","9.69245349651536","10.625955499078","11.3351367908612","11.0984229894148","11.2058669623781","11.031267292825","10.5272906437808","10.4774392871051","10.3789563199331","11.109434443885","11.1573603733327","10.9741654774939","10.844815956651","11.0254938139466","11.4518682295269","11.1106353102927","11.2693152160404","11.498400987976","11.2865596118116","11.3469839128285","11.8726779650924","11.758142995696",
"Andorra","AND","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","18.3310561486481","18.8182295011569","18.3987529068103","18.3591391554756","18.445808546185","18.103872826258","13.2203356515766","16.9169366824466","17.8491664971616","17.7488560787096","20.6093313451035","18.6765256197112","16.1442866925058","19.4222949502159","23.3100359272737","25.4531514504328","24.3545363528417","24.3241667759066","26.2835283431559","25.2094862917837","24.3846232977097","23.763680198919","17.7437078979655","22.6884465058999","22.3814329491714","19.8373205766578","18.6205816703972","17.8042909066679","17.5867945705037","18.0577157934865","18.9193921043319","17.291727187473","16.8508376107709","17.6292654043436","17.6247688683853","16.8959155137527","16.7646997533935","15.4029633833856","14.6119078354022","14.3867281221656","13.266453374937","16.2189331688472","15.5632477092401","16.2416333058794","16.1333263581774","17.4069174836619","18.7679910713108","20.8035920494699","19.7735446629587","19.1394063381734","18.4713299244452","18.9815961181165","21.633314508313","18.0674900060639",
"United Arab Emirates","ARE","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.91402351533425","10.146486288123","9.75023354253255","8.74669751420651","7.87259315554192","6.91782205479066","6.73299787689361","7.2968356174588","10.2341429132446","10.0310678171121","9.9533140324941","9.47695082677802","10.7069213444128","10.6423158319379","12.0210761022152","12.1122932563088","13.0457765457496","11.6854197578622","12.2551428299819","14.4501096619387","",
"Argentina","ARG","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","9.88044509523395","7.78963204832989","12.1923745358372","10.2521949603684","7.22902581011462","8.08948631250583","10.8043385563998","9.73927816603499","9.82935062849218","9.50117537009171","9.74254326207249","10.1462160701663","9.3516969606052","11.5393235681285","13.1532327349931","12.5891776401825","9.42009472768441","9.01540997692467","11.1661116654098","11.0078459559273","","","","","","","","4.7144944990421","4.32191028434568","4.49439596541391","3.13542839161188","3.32176128752774","2.97553802761558","13.5103784728742","13.1869043660659","13.3494556774505","12.5016776609201","12.0620142457633","12.4947749986829","13.7232114149469","13.7841913064131","14.1562743129569","12.235247296692","11.4380567929249","11.114636067696","12.1418612359575","12.4294153726307","12.9893238963619","13.6335132595631","15.903896746884","15.1637178886417","15.6889565165983","16.6454378106252","16.8062377968797","16.9498757371062","18.098379759087","17.6545781863509","17.6968939223042","15.8050971558947","16.4432415862976","16.8914340325918","15.8433870461202",
