DATE,CLVMNACSCAB1GQFR
1975-01-01,237727.0
1975-04-01,237076.0
1975-07-01,237162.0
1975-10-01,242059.0
1976-01-01,244436.0
1976-04-01,247810.0
1976-07-01,250549.0
1976-10-01,252236.0
1977-01-01,255139.0
1977-04-01,255962.0
1977-07-01,258288.0
1977-10-01,260391.0
1978-01-01,263824.0
1978-04-01,266635.0
1978-07-01,268767.0
1978-10-01,271679.0
1979-01-01,274054.0
1979-04-01,275524.0
1979-07-01,279153.0
1979-10-01,279886.0
1980-01-01,281262.3
1980-04-01,279216.3
1980-07-01,279656.6
1980-10-01,279095.9
1981-01-01,279991.8
1981-04-01,281950.4
1981-07-01,283795.0
1981-10-01,285458.9
1982-01-01,287846.5
1982-04-01,289807.1
1982-07-01,289781.5
1982-10-01,291494.4
1983-01-01,292716.0
1983-04-01,292779.9
1983-07-01,293076.4
1983-10-01,294871.9
1984-01-01,296073.1
1984-04-01,297311.1
1984-07-01,299408.0
1984-10-01,299186.1
1985-01-01,299981.2
1985-04-01,302691.4
1985-07-01,304261.9
1985-10-01,305564.4
1986-01-01,306646.7
1986-04-01,310049.5
1986-07-01,311536.8
1986-10-01,311870.2
1987-01-01,312335.9
1987-04-01,316890.5
1987-07-01,319119.7
1987-10-01,323714.9
1988-01-01,327669.3
1988-04-01,330442.8
1988-07-01,334705.4
1988-10-01,337623.9
1989-01-01,341630.1
1989-04-01,345658.2
1989-07-01,349375.8
1989-10-01,353971.6
1990-01-01,355479.9
1990-04-01,357308.3
1990-07-01,359098.2
1990-10-01,359086.6
1991-01-01,359541.3
1991-04-01,360979.7
1991-07-01,361764.6
1991-10-01,364252.3
1992-01-01,367080.4
1992-04-01,367356.1
1992-07-01,367172.6
1992-10-01,366486.2
1993-01-01,364095.8
1993-04-01,363963.9
1993-07-01,364639.8
1993-10-01,365459.5
1994-01-01,367905.2
1994-04-01,371635.5
1994-07-01,374803.8
1994-10-01,378277.0
1995-01-01,379478.6
1995-04-01,381862.2
1995-07-01,382509.5
1995-10-01,382508.1
1996-01-01,385213.1
1996-04-01,385637.4
1996-07-01,387627.9
1996-10-01,388616.4
1997-01-01,389960.6
1997-04-01,393868.6
1997-07-01,397738.6
1997-10-01,401657.3
1998-01-01,405418.0
1998-04-01,408677.2
1998-07-01,411690.2
1998-10-01,414403.1
1999-01-01,418823.4
1999-04-01,419985.5
1999-07-01,424655.9
1999-10-01,430713.5
2000-01-01,435173.9
2000-04-01,439678.1
2000-07-01,442723.6
2000-10-01,446344.1
2001-01-01,448541.4
2001-04-01,449124.4
2001-07-01,450343.6
2001-10-01,450050.2
2002-01-01,452588.9
2002-04-01,454442.5
2002-07-01,455552.4
2002-10-01,456598.9
2003-01-01,457028.0
2003-04-01,456096.0
2003-07-01,459159.0
2003-10-01,462261.5
2004-01-01,466755.9
2004-04-01,469496.4
2004-07-01,470765.7
2004-10-01,474311.2
2005-01-01,475380.6
2005-04-01,476704.3
2005-07-01,479340.9
2005-10-01,482540.0
2006-01-01,486233.4
2006-04-01,491293.5
2006-07-01,491700.7
2006-10-01,495254.3
2007-01-01,498843.3
2007-04-01,502249.9
2007-07-01,504616.5
2007-10-01,505565.7
2008-01-01,507996.9
2008-04-01,505231.6
2008-07-01,504400.7
2008-10-01,496781.2
2009-01-01,488301.7
2009-04-01,488238.9
2009-07-01,489133.2
2009-10-01,492588.0
2010-01-01,494261.5
2010-04-01,496677.9
2010-07-01,499850.6
2010-10-01,503156.6
2011-01-01,508362.2
2011-04-01,507888.7
2011-07-01,510458.3
2011-10-01,511339.5
2012-01-01,511455.3
2012-04-01,510718.0
2012-07-01,511950.0
2012-10-01,511310.5
2013-01-01,511680.7
2013-04-01,515097.3
2013-07-01,514670.9
2013-10-01,517989.3
2014-01-01,518020.9
2014-04-01,518525.9
2014-07-01,521498.8
2014-10-01,521261.5
2015-01-01,523977.3
2015-04-01,524604.4
2015-07-01,525807.7
2015-10-01,526844.3
2016-01-01,530091.7
2016-04-01,528520.0
2016-07-01,530075.8
2016-10-01,533182.4
2017-01-01,537084.5
2017-04-01,541424.4
2017-07-01,546027.2
2017-10-01,549308.2
2018-01-01,549666.0
2018-04-01,552128.9
2018-07-01,554222.2
2018-10-01,557478.7
2019-01-01,561168.7
2019-04-01,565084.2
2019-07-01,565199.5
2019-10-01,563750.2
2020-01-01,532280.3
2020-04-01,460027.6
2020-07-01,544781.5
2020-10-01,539801.8
2021-01-01,540109.9
2021-04-01,545867.8
2021-07-01,564121.9
2021-10-01,567390.8
2022-01-01,566103.1
2022-04-01,568945.4
2022-07-01,569903.6
2022-10-01,570331.7
