DATE,NGDPRSAXDCKRQ
1960-01-01,7059600.0
1960-04-01,7377000.0
1960-07-01,7295000.0
1960-10-01,7338500.0
1961-01-01,7573400.0
1961-04-01,7900300.0
1961-07-01,7756100.0
1961-10-01,7856700.0
1962-01-01,8013200.0
1962-04-01,7863500.0
1962-07-01,8093700.0
1962-10-01,8326800.0
1963-01-01,8814700.0
1963-04-01,8606800.0
1963-07-01,8890400.0
1963-10-01,8898700.0
1964-01-01,9430000.0
1964-04-01,9158900.0
1964-07-01,9782200.0
1964-10-01,10175400.0
1965-01-01,10305500.0
1965-04-01,10328800.0
1965-07-01,10247100.0
1965-10-01,10486100.0
1966-01-01,11128800.0
1966-04-01,11818100.0
1966-07-01,11613800.0
1966-10-01,11768400.0
1967-01-01,12165000.0
1967-04-01,12419000.0
1967-07-01,12933100.0
1967-10-01,13018500.0
1968-01-01,13846900.0
1968-04-01,14050700.0
1968-07-01,14771800.0
1968-10-01,14519700.0
1969-01-01,15261800.0
1969-04-01,15788700.0
1969-07-01,17061500.0
1969-10-01,17404600.0
1970-01-01,17109700.0
1970-04-01,17797700.0
1970-07-01,17907800.0
1970-10-01,19287500.0
1971-01-01,19395700.0
1971-04-01,20027500.0
1971-07-01,20066200.0
1971-10-01,20216900.0
1972-01-01,20507500.0
1972-04-01,21113600.0
1972-07-01,21461600.0
1972-10-01,22374000.0
1973-01-01,23114000.0
1973-04-01,24085300.0
1973-07-01,25311300.0
1973-10-01,25677600.0
1974-01-01,26749700.0
1974-04-01,26679200.0
1974-07-01,27095600.0
1974-10-01,27003200.0
1975-01-01,27385200.0
1975-04-01,28674500.0
1975-07-01,29494000.0
1975-10-01,30404100.0
1976-01-01,31282400.0
1976-04-01,32786200.0
1976-07-01,33422300.0
1976-10-01,33798200.0
1977-01-01,34136500.0
1977-04-01,35868300.0
1977-07-01,38023700.0
1977-10-01,39456500.0
1978-01-01,39137100.0
1978-04-01,40343400.0
1978-07-01,41093500.0
1978-10-01,43064900.0
1979-01-01,44996800.0
1979-04-01,45336900.0
1979-07-01,44082100.0
1979-10-01,43412600.0
1980-01-01,43797300.0
1980-04-01,43561000.0
1980-07-01,44385600.0
1980-10-01,43158000.0
1981-01-01,44934000.0
1981-04-01,46019400.0
1981-07-01,47935100.0
1981-10-01,48687100.0
1982-01-01,49017500.0
1982-04-01,50168600.0
1982-07-01,51209100.0
1982-10-01,52820600.0
1983-01-01,55160800.0
1983-04-01,56864000.0
1983-07-01,58975700.0
1983-10-01,59397900.0
1984-01-01,62000300.0
1984-04-01,63554300.0
1984-07-01,64420700.0
1984-10-01,64733800.0
1985-01-01,66553400.0
1985-04-01,68156600.0
1985-07-01,68932000.0
1985-10-01,71033500.0
1986-01-01,72401200.0
1986-04-01,75222800.0
1986-07-01,78470300.0
1986-10-01,79694300.0
1987-01-01,82253700.0
1987-04-01,86327900.0
1987-07-01,87170200.0
1987-10-01,88944400.0
1988-01-01,95796000.0
1988-04-01,93726100.0
1988-07-01,96674400.0
1988-10-01,99820800.0
1989-01-01,99864000.0
1989-04-01,101322600.0
1989-07-01,103920900.0
1989-10-01,108212600.0
1990-01-01,109314800.0
1990-04-01,111753200.0
1990-07-01,115366100.0
1990-10-01,117711800.0
1991-01-01,122126200.0
1991-04-01,124155300.0
1991-07-01,126818800.0
1991-10-01,129993800.0
1992-01-01,132308200.0
1992-04-01,133236600.0
1992-07-01,133326700.0
1992-10-01,135407500.0
1993-01-01,138103000.0
1993-04-01,141645800.0
1993-07-01,144257300.0
1993-10-01,147017900.0
1994-01-01,151306200.0
1994-04-01,153774900.0
1994-07-01,156361700.0
1994-10-01,162507400.0
1995-01-01,165904600.0
1995-04-01,169258900.0
1995-07-01,172772500.0
1995-10-01,176004300.0
1996-01-01,179362700.0
1996-04-01,182986100.0
1996-07-01,186204700.0
1996-10-01,189354500.0
1997-01-01,190240800.0
1997-04-01,196995400.0
1997-07-01,198555100.0
1997-10-01,197649700.0
1998-01-01,184173900.0
1998-04-01,182685900.0
1998-07-01,185877700.0
1998-10-01,190517300.0
1999-01-01,196298800.0
1999-04-01,204902900.0
1999-07-01,210601600.0
1999-10-01,216680100.0
2000-01-01,220786300.0
2000-04-01,223728300.0
2000-07-01,229891100.0
2000-10-01,229145200.0
2001-01-01,231953500.0
2001-04-01,234966300.0
