,CPI,quarter,GDP,INT,UNEMP,SPENDING_PERCENT_OF_GDP,CURRENCY
0,96.9066666666667,2012Q1,2411158.8,1,11.2,-3.7,0.808099985122681
1,98.25,2012Q2,2404798.8,1,11.5,-3.7,0.799300014972687
2,98.13,2012Q3,2402506.9,0.75,11.7,-3.7,0.770799994468689
3,98.9433333333333,2012Q4,2391734.8,0.75,12,-3.7,0.760399997234345
4,98.7166666666667,2013Q1,2383774.7,0.75,12.2,-3,0.76664000749588
5,99.63,2013Q2,2396015.8,0.5,12.2,-3,0.756200015544891
6,99.45,2013Q3,2403490.9,0.5,12.1,-3,0.735620021820068
7,99.7466666666666,2013Q4,2410260,0.25,12,-3,0.729529976844788
8,99.35,2014Q1,2420175,0.25,12,-2.4,0.733430027961731
9,100.19,2014Q2,2425058.7,0.15,11.6,-2.4,0.761349976062775
10,99.8,2014Q3,2436960.7,0.05,11.6,-2.4,0.803990006446838
11,99.9066666666667,2014Q4,2445637.9,0.05,11.5,-2.4,0.89301997423172
12,99.03,2015Q1,2461148.4,0.05,11.3,-1.9,0.91237998008728
13,100.62,2015Q2,2472574.6,0.05,11.1,-1.9,0.891740024089813
14,100.186666666667,2015Q3,2482864.4,0.05,10.7,-1.9,0.944909989833832
15,100.163333333333,2015Q4,2494378,0.05,10.6,-1.9,0.91541999578476
16,99.0766666666666,2016Q1,2508163.5,0,10.3,-1.4,0.89699000120163
17,100.503333333333,2016Q2,2513982.5,0,10.2,-1.4,0.896600008010864
18,100.443333333333,2016Q3,2526089.2,0,9.9,-1.4,0.939100027084351
19,100.886666666667,2016Q4,2545223.4,0,9.7,-1.4,0.944800019264221
20,100.796666666667,2017Q1,2562511.3,0,9.5,-0.8,0.895120024681091
21,102.033333333333,2017Q2,2582696.5,0,9.1,-0.8,0.840799987316132
22,101.93,2017Q3,2602914,0,8.9,-0.8,0.843739986419678
23,102.316666666667,2017Q4,2623901.6,0,8.7,-0.8,0.817640006542206
24,102.073333333333,2018Q1,2623804.5,0,8.5,-0.4,0.857100009918213
25,103.786666666667,2018Q2,2637837.2,0,8.2,-0.4,0.857290029525757
26,104.086666666667,2018Q3,2638230.3,0,8,-0.4,0.877749979496002
27,104.266666666667,2018Q4,2655220.4,0,7.9,-0.4,0.878719985485077
28,103.526666666667,2019Q1,2671810.7,0,7.7,-0.5,0.898379981517792
29,105.24,2019Q2,2680069.7,0,7.5,-0.5,0.908100008964539
30,105.08,2019Q3,2685893.2,0,7.5,-0.5,0.907441020011902
31,105.313333333333,2019Q4,2686488.3,0,7.5,-0.5,0.906617999076843
32,104.68,2020Q1,2596185,0,7.2,-6.7,0.900089979171753
33,105.473333333333,2020Q2,2298552.9,0,8.1,-6.7,0.839049994945526
34,105.043333333333,2020Q3,2582728.5,0,8.6,-6.7,0.835319995880127
35,105.02,2020Q4,2576073.6,0,8.2,-6.7,0.828252971172333
36,105.786666666667,2021Q1,2575146.5,0,8.2,-4.6,0.820339977741241
37,107.403333333333,2021Q2,2625825,0,7.8,-4.6,0.847679972648621
38,108.016666666667,2021Q3,2685672.3,0,7.4,-4.6,0.885469973087311
39,109.883333333333,2021Q4,2700610.6,0,7,-4.6,0.894370019435883
,112.29,2022Q1,2717203.6,0,6.8,-2.1,0.928200006484985
,116.066666666667,2022Q2,2741071.5,0,6.7,-1.8,0.997500002384186
,118.1,2022Q3,2751221.8,1.25,6.7,-3.2,0.968569993972778
,120.843333333333,2022Q4,2750344.2,2.5,6.7,-3.5,0.942399978637695
,124.42,2023Q1,2772346.9536,3.5,6.7,-3.7,0.909099996089935
