,CPI,quarter,GDP,INT,UNEMP,SPENDING_PERCENT_OF_GDP,
0,12.7259393468789,1960Q1,542.648,3.84,5.4,0.0555,
1,12.8265964942554,1960Q2,541.08,3.32,5.4,0.0555,
2,12.85535567922,1960Q3,545.604,2.6,5.5,0.0555,
3,12.9272536416318,1960Q4,540.197,1.98,6.6,0.0555,
4,12.9416332341141,1961Q1,545.018,2.02,6.9,-0.5932,
5,12.9416332341141,1961Q2,555.545,1.73,6.9,-0.5932,
6,12.9991516040435,1961Q3,567.664,1.88,6.7,-0.5932,
7,13.0279107890082,1961Q4,580.612,2.33,6,-0.5932,
8,13.0422903814906,1962Q1,594.013,2.85,5.6,-1.18327,
9,13.1141883439023,1962Q2,600.366,2.68,5.5,-1.18327,
10,13.142947528867,1962Q3,609.027,2.9,5.6,-1.18327,
11,13.2004658987964,1962Q4,612.28,2.93,5.5,-1.18327,
12,13.2148454912788,1963Q1,621.672,2.98,5.7,-0.7461,
13,13.2579842687258,1963Q2,629.752,2.99,5.6,-0.7461,
14,13.3298822311376,1963Q3,644.444,3.48,5.5,-0.7461,
15,13.387400601067,1963Q4,653.938,3.38,5.5,-0.7461,
16,13.4161597860317,1964Q1,669.822,3.43,5.4,-0.86418,
17,13.430539378514,1964Q2,678.674,3.5,5.2,-0.86418,
18,13.4880577484434,1964Q3,692.031,3.45,5.1,-0.86418,
19,13.5311965258905,1964Q4,697.319,3.85,5,-0.86418,
20,13.5599557108552,1965Q1,717.79,4.05,4.7,-0.19009,
21,13.6606128582316,1965Q2,730.191,4.05,4.6,-0.19009,
22,13.718131228161,1965Q3,749.323,4.02,4.3,-0.19009,
23,13.7756495980904,1965Q4,771.857,4.32,4,-0.19009,
24,13.8763067454668,1966Q1,795.734,4.66,3.8,-0.45463,
25,14.0344822627727,1966Q2,804.981,5.17,3.8,-0.45463,
26,14.1638985951138,1966Q3,819.638,5.4,3.7,-0.45463,
27,14.2789353349726,1966Q4,833.302,5.4,3.8,-0.45463,
28,14.293314927455,1967Q1,844.17,4.53,3.8,-1.00505,
29,14.4083516673138,1967Q2,848.983,3.98,3.9,-1.00505,
30,14.5377679996549,1967Q3,865.233,3.99,3.8,-1.00505,
31,14.667184331996,1967Q4,881.439,4.51,3.8,-1.00505,
32,14.8109802568195,1968Q1,909.387,5.05,3.7,-2.67485,
33,14.9835353666077,1968Q2,934.344,6.07,3.7,-2.67485,
34,15.1848496613606,1968Q3,950.825,5.78,3.4,-2.67485,
35,15.3574047711488,1968Q4,968.03,6.02,3.4,-2.67485,
36,15.5443394734193,1969Q1,993.337,6.79,3.4,0.31859,
37,15.8031721381016,1969Q2,1009.02,8.9,3.5,0.31859,
38,16.0332456178192,1969Q3,1029.956,9.15,3.7,0.31859,
39,16.2633190975368,1969Q4,1038.147,8.97,3.5,0.31859,
40,16.479012984772,1970Q1,1051.2,7.76,4.4,-0.26479,
41,16.7522252419366,1970Q2,1067.375,7.61,4.9,-0.26479,
42,16.9391599442072,1970Q3,1086.059,6.29,5.4,-0.26479,
43,17.1692334239248,1970Q4,1088.608,4.9,6.1,-0.26479,
44,17.2986497562659,1971Q1,1135.156,3.71,6,-1.97734,
45,17.5143436435011,1971Q2,1156.271,4.91,5.9,-1.97734,
46,17.672519160807,1971Q3,1177.675,5.55,6,-1.97734,
47,17.7731763081834,1971Q4,1190.297,4.14,6,-1.97734,
48,17.9169722330069,1972Q1,1230.609,3.83,5.8,-1.82729,
49,18.0607681578304,1972Q2,1266.369,4.46,5.7,-1.82729,
50,18.2189436751362,1972Q3,1290.566,4.87,5.5,-1.82729,
51,18.3771191924421,1972Q4,1328.904,5.33,5.2,-1.82729,
52,18.6503314496067,1973Q1,1377.49,7.09,4.9,-1.0459,
53,19.0385804466301,1973Q2,1413.887,8.49,4.9,-1.0459,
54,19.4699682211006,1973Q3,1433.838,10.78,4.8,-1.0459,
55,19.9301151805358,1973Q4,1476.289,9.95,4.9,-1.0459,
56,20.476539694865,1974Q1,1491.209,9.35,5.1,-0.39702,
57,21.051723394159,1974Q2,1530.056,11.93,5.4,-0.39702,
58,21.6988050558647,1974Q3,1560.026,11.34,5.9,-0.39702,
59,22.3458867175704,1974Q4,1599.679,8.53,7.2,-0.39702,
60,22.7485153070762,1975Q1,1616.116,5.54,8.6,-3.15994,
61,23.0936255266526,1975Q2,1651.853,5.55,8.8,-3.15994,
62,23.5969112635348,1975Q3,1709.82,6.24,8.4,-3.15994,
63,23.9707806680759,1975Q4,1761.831,5.2,8.2,-3.15994,
64,24.2008541477935,1976Q1,1820.487,4.84,7.6,-3.93571,
65,24.5028255899228,1976Q2,1852.332,5.48,7.6,-3.93571,
66,24.8766949944639,1976Q3,1886.558,5.25,7.6,-3.93571,
67,25.1642868441108,1976Q4,1934.273,4.65,7.8,-3.93571,
68,25.624433803546,1977Q1,1988.648,4.69,7.4,-2.5775,
69,26.1564787253929,1977Q2,2055.909,5.39,7.2,-2.5775,
70,26.5447277224163,1977Q3,2118.473,6.14,6.8,-2.5775,
71,26.8323195720633,1977Q4,2164.27,6.56,6.4,-2.5775,
72,27.2780869390162,1978Q1,2202.76,6.79,6.3,-2.5168,
73,28.011446155616,1978Q2,2331.633,7.6,5.9,-2.5168,
74,28.6441482248393,1978Q3,2395.053,8.45,6,-2.5168,
75,29.2193319241333,1978Q4,2476.949,10.03,6,-2.5168,
76,29.9814503256978,1979Q1,2526.61,10.09,5.8,-1.55009,
77,31.0311605769092,1979Q2,2591.247,10.29,5.7,-1.55009,
78,32.0952504206031,1979Q3,2667.565,11.43,5.9,-1.55009,
79,32.9724055620264,1979Q4,2723.883,13.78,6,-1.55009,
