,0
1960Q1,59716467625.3148
1961Q1,50056868957.6732
1962Q1,47209359005.6057
1963Q1,50706799902.5104
1964Q1,59708343488.5043
1965Q1,70436266146.7219
1966Q1,76720285969.6157
1967Q1,72881631326.6715
1968Q1,70846535055.6503
1969Q1,79705906247.4612
1970Q1,92602973434.0726
1971Q1,99800958648.1436
1972Q1,113687586299.051
1973Q1,138544284708.957
1974Q1,144182133387.722
1975Q1,163431551779.761
1976Q1,153940455341.506
1977Q1,174938098826.569
1978Q1,149540752829.268
1979Q1,178280594413.043
1980Q1,191149211575.0
1981Q1,195866382432.54
1982Q1,205089699858.779
1983Q1,230686747153.257
1984Q1,259946510957.143
1985Q1,309488028132.653
1986Q1,300758100107.246
1987Q1,272972974764.574
1988Q1,312353631207.819
1989Q1,347768051311.741
1990Q1,360857912565.966
1991Q1,383373318083.624
1992Q1,426915712711.146
1993Q1,444731282436.762
1994Q1,564324670005.917
1995Q1,734547898220.508
1996Q1,863746717503.789
1997Q1,961603952951.82
1998Q1,1029043097554.08
1999Q1,1093997267271.06
2000Q1,1211346869605.24
2001Q1,1339395718865.3
2002Q1,1470550015081.55
2003Q1,1660287965662.68
2004Q1,1955347004963.27
2005Q1,2285965892360.54
2006Q1,2752131773355.16
2007Q1,3550342737010.84
2008Q1,4594307032660.79
2009Q1,5101703073086.04
2010Q1,6087163874512.21
2011Q1,7551500124203.36
2011Q2,7551500124203.36
2011Q3,7551500124203.36
2011Q4,7551500124203.36
2012Q1,8532229986993.65
2012Q2,8532229986993.65
2012Q3,8532229986993.65
2012Q4,8532229986993.65
2013Q1,9570406235659.64
2013Q2,9570406235659.64
2013Q3,9570406235659.64
2013Q4,9570406235659.64
2014Q1,10475682920594.5
2014Q2,10475682920594.5
2014Q3,10475682920594.5
2014Q4,10475682920594.5
2015Q1,11061553079876.4
2015Q2,11061553079876.4
2015Q3,11061553079876.4
2015Q4,11061553079876.4
2016Q1,11233276536737.2
2016Q2,11233276536737.2
2016Q3,11233276536737.2
2016Q4,11233276536737.2
2017Q1,12310409370892.8
2017Q2,12310409370892.8
2017Q3,12310409370892.8
2017Q4,12310409370892.8
2018Q1,13894817549374.2
2018Q2,13894817549374.2
2018Q3,13894817549374.2
2018Q4,13894817549374.2
2019Q1,14279937500606.5
2019Q2,14279937500606.5
2019Q3,14279937500606.5
2019Q4,14279937500606.5
2020Q1,14687673892882.0
2020Q2,14687673892882.0
2020Q3,14687673892882.0
2020Q4,14687673892882.0
2021Q1,17734062645371.4
2021Q2,17734062645371.4
2021Q3,17734062645371.4
2021Q4,17734062645371.4
