,0
2011Q1,-0.1
2011Q2,-0.1
2011Q3,-0.1
2011Q4,-0.1
2012Q1,-0.3
2012Q2,-0.3
2012Q3,-0.3
2012Q4,-0.3
2013Q1,-0.84
2013Q2,-0.84
2013Q3,-0.84
2013Q4,-0.84
2014Q1,-0.68
2014Q2,-0.68
2014Q3,-0.68
2014Q4,-0.68
2015Q1,-2.54
2015Q2,-2.54
2015Q3,-2.54
2015Q4,-2.54
2016Q1,-3.39
2016Q2,-3.39
2016Q3,-3.39
2016Q4,-3.39
2017Q1,-3.4
2017Q2,-3.4
2017Q3,-3.4
2017Q4,-3.4
2018Q1,-4.28
2018Q2,-4.28
2018Q3,-4.28
2018Q4,-4.28
2019Q1,-6.1
2019Q2,-6.1
2019Q3,-6.1
2019Q4,-6.1
2020Q1,-9.72
2020Q2,-9.72
2020Q3,-9.72
2020Q4,-9.72
2021Q1,-6.04
2021Q2,-6.04
2021Q3,-6.04
2021Q4,-6.04
2022Q1,-7.54
2022Q2,-7.54
2022Q3,-7.54
2022Q4,-7.54
2023Q1,-6.88
2023Q2,-6.88
2023Q3,-6.88
2023Q4,-6.88
