,0
1990Q3,7.6992398582415
1990Q4,7.79253021767673
1991Q1,7.83096983884386
1991Q2,7.59485245559194
1991Q3,7.84262729119874
1991Q4,7.97428847423007
1992Q1,8.19492035151846
1992Q2,8.35992229536054
1992Q3,8.69885789512499
1992Q4,9.11693555799656
1993Q1,9.7
1993Q2,10.2
1993Q3,10.5
1993Q4,10.8
1994Q1,10.9
1994Q2,10.9
1994Q3,10.8
1994Q4,10.8
1995Q1,10.6
1995Q2,10.6
1995Q3,10.7
1995Q4,10.7
1996Q1,10.8
1996Q2,10.8
1996Q3,10.8
1996Q4,10.8
1997Q1,10.8
1997Q2,10.8
1997Q3,10.7
1997Q4,10.6
1998Q1,10.5
1998Q2,10.5
1998Q3,10.4
1998Q4,10.2
1999Q1,9.9
1999Q2,9.8
1999Q3,9.7
1999Q4,9.5
2000Q1,9.2
2000Q2,9.0
2000Q3,8.8
2000Q4,8.6
2001Q1,8.4
2001Q2,8.4
2001Q3,8.4
2001Q4,8.5
2002Q1,8.5
2002Q2,8.6
2002Q3,8.8
2002Q4,8.9
2003Q1,9.2
2003Q2,9.2
2003Q3,9.2
2003Q4,9.3
2004Q1,9.5
2004Q2,9.4
2004Q3,9.4
2004Q4,9.4
2005Q1,9.3
2005Q2,9.3
2005Q3,9.2
2005Q4,9.1
2006Q1,8.8
2006Q2,8.5
2006Q3,8.3
2006Q4,8.0
2007Q1,7.8
2007Q2,7.6
2007Q3,7.5
2007Q4,7.4
2008Q1,7.4
2008Q2,7.6
2008Q3,7.8
2008Q4,8.4
2009Q1,9.3
2009Q2,9.7
2009Q3,10.0
2009Q4,10.2
2010Q1,10.3
2010Q2,10.3
2010Q3,10.2
2010Q4,10.2
2011Q1,10.1
2011Q2,10.1
2011Q3,10.5
2011Q4,10.8
2012Q1,11.2
2012Q2,11.5
2012Q3,11.7
2012Q4,12.0
2013Q1,12.2
2013Q2,12.2
2013Q3,12.1
2013Q4,12.0
2014Q1,12.0
2014Q2,11.6
2014Q3,11.6
2014Q4,11.5
2015Q1,11.3
2015Q2,11.1
2015Q3,10.7
2015Q4,10.6
2016Q1,10.3
2016Q2,10.2
2016Q3,9.9
2016Q4,9.7
2017Q1,9.5
2017Q2,9.1
2017Q3,8.9
2017Q4,8.7
2018Q1,8.5
2018Q2,8.2
2018Q3,8.0
2018Q4,7.9
2019Q1,7.7
2019Q2,7.5
2019Q3,7.5
2019Q4,7.5
2020Q1,7.2
2020Q2,8.1
2020Q3,8.6
2020Q4,8.2
2021Q1,8.2
2021Q2,7.8
2021Q3,7.4
2021Q4,7.0
2022Q1,6.8
2022Q2,6.7
2022Q3,6.7
2022Q4,6.7
2023Q1,6.7
