,0
1994Q1,446276.5
1994Q2,443822.8
1994Q3,448928.5
1994Q4,447124.9
1995Q1,452096.3
1995Q2,456350.0
1995Q3,461698.4
1995Q4,462803.1
1996Q1,466601.9
1996Q2,472555.5
1996Q3,473152.5
1996Q4,478409.5
1997Q1,479667.6
1997Q2,476077.6
1997Q3,477003.8
1997Q4,477155.3
1998Q1,471380.4
1998Q2,469303.7
1998Q3,470143.7
1998Q4,473904.2
1999Q1,467403.5
1999Q2,469175.4
1999Q3,471675.1
1999Q4,471841.2
2000Q1,479861.0
2000Q2,482127.1
2000Q3,482244.3
2000Q4,486944.5
2001Q1,490543.8
2001Q2,486880.8
2001Q3,481569.4
2001Q4,479917.6
2002Q1,480733.3
2002Q2,484626.2
2002Q3,486152.1
2002Q4,487502.5
2003Q1,487809.9
2003Q2,491151.1
2003Q3,492603.5
2003Q4,497984.2
2004Q1,501630.5
2004Q2,501691.7
2004Q3,504769.8
2004Q4,503829.7
2005Q1,506409.4
2005Q2,510318.2
2005Q3,515509.1
2005Q4,516438.0
2006Q1,517237.8
2006Q2,517999.1
2006Q3,516996.6
2006Q4,524001.4
2007Q1,527461.8
2007Q2,527589.1
2007Q3,524760.2
2007Q4,527089.4
2008Q1,528981.7
2008Q2,525788.8
2008Q3,519289.3
2008Q4,506540.3
2009Q1,482198.8
2009Q2,491520.9
2009Q3,491329.2
2009Q4,497490.2
2010Q1,502726.2
2010Q2,508663.2
2010Q3,517915.0
2010Q4,513728.4
2011Q1,508328.1
2011Q2,503865.3
2011Q3,516136.0
2011Q4,515432.6
2012Q1,522590.3
2012Q2,517793.9
2012Q3,515853.6
2012Q4,515474.8
2013Q1,522626.6
2013Q2,527332.3
2013Q3,532396.8
2013Q4,531720.2
2014Q1,536081.6
2014Q2,526409.7
2014Q3,526850.0
2014Q4,529274.0
2015Q1,537512.6
2015Q2,538249.9
2015Q3,538774.2
2015Q4,537861.7
2016Q1,541875.9
2016Q2,541024.3
2016Q3,542102.3
2016Q4,542916.4
2017Q1,547326.9
2017Q2,549221.2
2017Q3,553882.6
2017Q4,554519.2
2018Q1,555050.2
2018Q2,556734.7
2018Q3,553944.1
2018Q4,553198.2
2019Q1,554377.4
2019Q2,556165.3
2019Q3,557453.5
2019Q4,542160.3
2020Q1,544428.0
2020Q2,501178.8
2020Q3,529388.2
2020Q4,539350.6
2021Q1,538460.2
2021Q2,540331.2
2021Q3,538396.0
2021Q4,544376.8
2022Q1,541843.6
2022Q2,548075.3
2022Q3,546607.5
2022Q4,546735.1
