,0
1960Q1,7.3
1960Q2,7.3
1960Q3,6.94
1960Q4,6.94
1961Q1,6.57
1961Q2,6.57
1961Q3,7.3
1961Q4,7.3
1962Q1,7.3
1962Q2,7.3
1962Q3,7.3
1962Q4,6.57
1963Q1,6.21
1963Q2,5.84
1963Q3,5.84
1963Q4,5.84
1964Q1,6.57
1964Q2,6.57
1964Q3,6.57
1964Q4,6.57
1965Q1,6.21
1965Q2,5.48
1965Q3,5.48
1965Q4,5.48
1966Q1,5.48
1966Q2,5.48
1966Q3,5.48
1966Q4,5.48
1967Q1,5.48
1967Q2,5.48
1967Q3,5.84
1967Q4,5.84
1968Q1,6.21
1968Q2,6.21
1968Q3,5.84
1968Q4,5.84
1969Q1,5.84
1969Q2,5.84
1969Q3,6.25
1969Q4,6.25
1970Q1,6.25
1970Q2,6.25
1970Q3,6.25
1970Q4,6.0
1971Q1,5.75
1971Q2,5.5
1971Q3,5.25
1971Q4,4.75
1972Q1,4.75
1972Q2,4.25
1972Q3,4.25
1972Q4,4.25
1973Q1,4.25
1973Q2,5.5
1973Q3,7.0
1973Q4,9.0
1974Q1,9.0
1974Q2,9.0
1974Q3,9.0
1974Q4,9.0
1975Q1,9.0
1975Q2,8.0
1975Q3,7.5
1975Q4,6.5
1976Q1,6.5
1976Q2,6.5
1976Q3,6.5
1976Q4,6.5
1977Q1,6.0
1977Q2,5.0
1977Q3,4.25
1977Q4,4.25
1978Q1,3.5
1978Q2,3.5
1978Q3,3.5
1978Q4,3.5
1979Q1,3.5
1979Q2,4.25
1979Q3,5.25
1979Q4,6.25
1980Q1,9.0
1980Q2,9.0
1980Q3,8.25
1980Q4,7.25
1981Q1,6.25
1981Q2,6.25
1981Q3,6.25
1981Q4,5.5
1982Q1,5.5
1982Q2,5.5
1982Q3,5.5
1982Q4,5.5
1983Q1,5.5
1983Q2,5.5
1983Q3,5.5
1983Q4,5.0
1984Q1,5.0
1984Q2,5.0
1984Q3,5.0
1984Q4,5.0
1985Q1,5.0
1985Q2,5.0
1985Q3,5.0
1985Q4,5.0
1986Q1,4.0
1986Q2,3.5
1986Q3,3.5
1986Q4,3.0
1987Q1,2.5
1987Q2,2.5
1987Q3,2.5
1987Q4,2.5
1988Q1,2.5
1988Q2,2.5
1988Q3,2.5
1988Q4,2.5
1989Q1,2.5
1989Q2,3.25
1989Q3,3.25
1989Q4,4.25
1990Q1,5.25
1990Q2,5.25
1990Q3,6.0
1990Q4,6.0
1991Q1,6.0
1991Q2,6.0
1991Q3,5.5
1991Q4,4.5
1992Q1,4.5
1992Q2,3.75
1992Q3,3.25
1992Q4,3.25
1993Q1,2.5
1993Q2,2.5
1993Q3,1.75
1993Q4,1.75
1994Q1,1.75
1994Q2,1.75
1994Q3,1.75
1994Q4,1.75
1995Q1,1.75
1995Q2,1.0
1995Q3,0.5
1995Q4,0.5
1996Q1,0.5
1996Q2,0.5
1996Q3,0.5
1996Q4,0.5
1997Q1,0.5
1997Q2,0.5
1997Q3,0.5
1997Q4,0.5
1998Q1,0.5
1998Q2,0.5
1998Q3,0.5
1998Q4,0.5
1999Q1,0.5
1999Q2,0.5
1999Q3,0.5
1999Q4,0.5
2000Q1,0.5
2000Q2,0.5
2000Q3,0.5
2000Q4,0.5
2001Q1,0.25
2001Q2,0.25
2001Q3,0.1
2001Q4,0.1
2002Q1,0.1
2002Q2,0.1
2002Q3,0.1
2002Q4,0.1
2003Q1,0.1
2003Q2,0.1
2003Q3,0.1
2003Q4,0.1
2004Q1,0.1
2004Q2,0.1
2004Q3,0.1
2004Q4,0.1
2005Q1,0.1
2005Q2,0.1
2005Q3,0.1
2005Q4,0.1
2006Q1,0.1
2006Q2,0.1
2006Q3,0.4
2006Q4,0.4
2007Q1,0.75
2007Q2,0.75
2007Q3,0.75
2007Q4,0.75
2008Q1,0.75
2008Q2,0.75
2008Q3,0.75
2008Q4,0.3
2009Q1,0.3
2009Q2,0.3
2009Q3,0.3
2009Q4,0.3
2010Q1,0.3
2010Q2,0.3
2010Q3,0.3
2010Q4,0.3
2011Q1,0.3
2011Q2,0.3
2011Q3,0.3
2011Q4,0.3
2012Q1,0.3
2012Q2,0.3
2012Q3,0.3
2012Q4,0.3
2013Q1,0.3
2013Q2,0.3
2013Q3,0.3
2013Q4,0.3
2014Q1,0.3
2014Q2,0.3
2014Q3,0.3
2014Q4,0.3
2015Q1,0.3
2015Q2,0.3
2015Q3,0.3
2015Q4,0.3
2016Q1,0.3
2016Q2,0.3
2016Q3,0.3
2016Q4,0.3
2017Q1,0.3
2017Q2,0.3
2017Q3,0.3
2017Q4,0.3
2018Q1,0.3
2018Q2,0.3
2018Q3,0.3
2018Q4,0.3
2019Q1,0.3
2019Q2,0.3
2019Q3,0.3
2019Q4,0.3
2020Q1,0.3
2020Q2,0.3
2020Q3,0.3
2020Q4,0.3
2021Q1,0.3
2021Q2,0.3
2021Q3,0.3
2021Q4,0.3
2022Q1,0.3
2022Q2,0.3
2022Q3,0.3
2022Q4,0.3
2023Q1,0.3
