DATE,NGDPRSAXDCIDQ
2000-01-01,1012908500.0
2000-04-01,1007085100.0
2000-07-01,1031621800.0
2000-10-01,1061287200.0
2001-01-01,1053724500.0
2001-04-01,1064503000.0
2001-07-01,1064723800.0
2001-10-01,1079803500.0
2002-01-01,1092967400.0
2002-04-01,1107016700.0
2002-07-01,1121225600.0
2002-10-01,1133346900.0
2003-01-01,1148138300.0
2003-04-01,1161156600.0
2003-07-01,1173320800.0
2003-10-01,1184885000.0
2004-01-01,1198807300.0
2004-04-01,1213143900.0
2004-07-01,1227905800.0
2004-10-01,1262459900.0
2005-01-01,1272698700.0
2005-04-01,1287273700.0
2005-07-01,1301458200.0
2005-10-01,1319954100.0
2006-01-01,1337393600.0
2006-04-01,1354469300.0
2006-07-01,1376301900.0
2006-10-01,1398245400.0
2007-01-01,1420985900.0
2007-04-01,1444669500.0
2007-07-01,1467445700.0
2007-10-01,1480154000.0
2008-01-01,1513277000.0
2008-04-01,1535415500.0
2008-07-01,1555932700.0
2008-10-01,1558221800.0
2009-01-01,1579413600.0
2009-04-01,1599913900.0
2009-07-01,1624670000.0
2009-10-01,1648612300.0
2010-01-01,1675407500.0
2010-04-01,1703255900.0
2010-07-01,1728920600.0
2010-10-01,1756549100.0
2011-01-01,1782074900.0
2011-04-01,1807992600.0
2011-07-01,1835377100.0
2011-10-01,1862190700.0
2012-01-01,1890209000.0
2012-04-01,1918540700.0
2012-07-01,1945628800.0
2012-10-01,1972704800.0
2013-01-01,2000156700.0
2013-04-01,2025666000.0
2013-07-01,2052287300.0
2013-10-01,2078387800.0
2014-01-01,2103003900.0
2014-04-01,2129185200.0
2014-07-01,2153956300.0
2014-10-01,2178721200.0
2015-01-01,2205434900.0
2015-04-01,2231078600.0
2015-07-01,2258607900.0
2015-10-01,2287395800.0
2016-01-01,2315053400.0
2016-04-01,2344303700.0
2016-07-01,2373248500.0
2016-10-01,2402007900.0
2017-01-01,2432055700.0
2017-04-01,2462421100.0
2017-07-01,2493339600.0
2017-10-01,2525111700.0
2018-01-01,2557426700.0
2018-04-01,2589648800.0
2018-07-01,2622675800.0
2018-10-01,2656100500.0
2019-01-01,2689212200.0
2019-04-01,2722153700.0
2019-07-01,2754326100.0
2019-10-01,2783463300.0
2020-01-01,2766052200.0
2020-04-01,2572786000.0
2020-07-01,2659448600.0
2020-10-01,2724768100.0
2021-01-01,2748524400.0
2021-04-01,2752019200.0
2021-07-01,2757126700.0
2021-10-01,2861198200.0
2022-01-01,2883486200.0
2022-04-01,2902787700.0
2022-07-01,2919292600.0
