DATE,NGDPRSAXDCMXQ
1993-01-01,2516651.3
1993-04-01,2523293.3
1993-07-01,2548936.6
1993-10-01,2582433.0
1994-01-01,2609141.9
1994-04-01,2664067.4
1994-07-01,2684399.1
1994-10-01,2715436.2
1995-01-01,2559525.8
1995-04-01,2434250.9
1995-07-01,2480287.1
1995-10-01,2527700.4
1996-01-01,2595989.9
1996-04-01,2629893.9
1996-07-01,2674176.1
1996-10-01,2754886.9
1997-01-01,2759688.1
1997-04-01,2823236.5
1997-07-01,2876854.8
1997-10-01,2948196.2
1998-01-01,2975344.5
1998-04-01,2996670.8
1998-07-01,3012181.2
1998-10-01,3016248.6
1999-01-01,3046741.6
1999-04-01,3064777.9
1999-07-01,3094712.7
1999-10-01,3123176.9
2000-01-01,3181911.8
2000-04-01,3229854.8
2000-07-01,3262815.7
2000-10-01,3234674.2
2001-01-01,3235545.5
2001-04-01,3218138.7
2001-07-01,3225205.5
2001-10-01,3204721.6
2002-01-01,3182893.0
2002-04-01,3212312.8
2002-07-01,3237304.8
2002-10-01,3244942.9
2003-01-01,3252640.4
2003-04-01,3260087.6
2003-07-01,3258858.6
2003-10-01,3294714.5
2004-01-01,3341114.4
2004-04-01,3392641.2
2004-07-01,3385414.4
2004-10-01,3430310.3
2005-01-01,3435774.5
2005-04-01,3445867.3
2005-07-01,3474788.5
2005-10-01,3532839.9
2006-01-01,3594913.9
2006-04-01,3629841.2
2006-07-01,3640006.0
2006-10-01,3649058.4
2007-01-01,3674614.4
2007-04-01,3702987.4
2007-07-01,3726294.0
2007-10-01,3740930.9
2008-01-01,3733344.5
2008-04-01,3762190.4
2008-07-01,3774091.7
2008-10-01,3712484.7
2009-01-01,3522252.9
2009-04-01,3470256.0
2009-07-01,3584653.2
2009-10-01,3644110.3
2010-01-01,3682257.8
2010-04-01,3723008.5
2010-07-01,3757969.2
2010-10-01,3787023.1
2011-01-01,3815791.6
2011-04-01,3836248.5
2011-07-01,3910785.9
2011-10-01,3936405.7
2012-01-01,3962123.2
2012-04-01,3996555.0
2012-07-01,4019159.2
2012-10-01,4053504.5
2013-01-01,4063418.3
2013-04-01,4041065.2
2013-07-01,4078770.2
2013-10-01,4101548.6
2014-01-01,4129865.8
2014-04-01,4181916.6
2014-07-01,4197205.1
2014-10-01,4241036.0
2015-01-01,4264202.5
2015-04-01,4313655.3
2015-07-01,4370886.1
2015-10-01,4355983.1
2016-01-01,4381147.8
2016-04-01,4399490.2
2016-07-01,4446439.4
2016-10-01,4492337.1
2017-01-01,4513904.9
2017-04-01,4527578.3
2017-07-01,4516951.8
2017-10-01,4574682.0
2018-01-01,4626283.1
2018-04-01,4624424.7
2018-07-01,4645932.2
2018-10-01,4632858.7
2019-01-01,4635180.6
2019-04-01,4613943.7
2019-07-01,4640549.7
2019-10-01,4605149.2
2020-01-01,4562337.6
2020-04-01,3742978.1
2020-07-01,4254028.4
2020-10-01,4409936.0
2021-01-01,4431359.5
2021-04-01,4473317.1
2021-07-01,4449655.3
2021-10-01,4463474.5
2022-01-01,4514443.4
2022-04-01,4556173.9
2022-07-01,4636540.8
