DATE,CLVMNACSAB1GQCH
1980-01-01,92283.4
1980-04-01,92168.4
1980-07-01,92761.9
1980-10-01,93279.2
1981-01-01,93184.3
1981-04-01,94240.1
1981-07-01,94729.4
1981-10-01,94357.4
1982-01-01,93663.7
1982-04-01,92941.8
1982-07-01,92668.7
1982-10-01,92393.0
1983-01-01,93146.8
1983-04-01,93051.3
1983-07-01,93579.6
1983-10-01,94025.2
1984-01-01,95193.8
1984-04-01,95366.1
1984-07-01,96824.6
1984-10-01,97740.3
1985-01-01,99068.8
1985-04-01,99597.4
1985-07-01,99867.2
1985-10-01,100691.9
1986-01-01,100758.2
1986-04-01,102120.2
1986-07-01,101932.6
1986-10-01,101834.7
1987-01-01,101783.6
1987-04-01,102594.7
1987-07-01,103945.6
1987-10-01,104758.8
1988-01-01,105362.7
1988-04-01,105667.9
1988-07-01,106857.1
1988-10-01,108940.2
1989-01-01,109274.4
1989-04-01,111356.6
1989-07-01,111720.8
1989-10-01,113045.2
1990-01-01,115708.3
1990-04-01,115848.2
1990-07-01,115293.0
1990-10-01,115022.5
1991-01-01,115119.1
1991-04-01,114256.4
1991-07-01,113942.8
1991-10-01,114218.0
1992-01-01,115338.7
1992-04-01,114943.2
1992-07-01,113946.1
1992-10-01,113096.6
1993-01-01,112890.5
1993-04-01,114030.0
1993-07-01,114649.1
1993-10-01,115126.7
1994-01-01,115844.9
1994-04-01,114520.9
1994-07-01,115728.3
1994-10-01,116423.4
1995-01-01,116099.9
1995-04-01,115924.2
1995-07-01,116446.3
1995-10-01,116241.7
1996-01-01,117132.8
1996-04-01,116434.5
1996-07-01,116458.4
1996-10-01,116914.9
1997-01-01,117754.5
1997-04-01,118854.8
1997-07-01,119944.2
1997-10-01,120879.8
1998-01-01,121814.9
1998-04-01,123185.3
1998-07-01,123469.9
1998-10-01,123382.3
1999-01-01,123252.0
1999-04-01,123967.4
1999-07-01,124929.9
1999-10-01,127974.1
2000-01-01,128965.2
2000-04-01,128989.9
2000-07-01,130157.4
2000-10-01,131826.9
2001-01-01,131936.9
2001-04-01,132301.0
2001-07-01,132092.8
2001-10-01,131858.8
2002-01-01,131642.9
2002-04-01,132364.3
2002-07-01,132218.3
2002-10-01,131524.4
2003-01-01,130928.0
2003-04-01,130669.4
2003-07-01,132244.6
2003-10-01,133812.3
2004-01-01,134677.4
2004-04-01,135478.3
2004-07-01,135677.0
2004-10-01,135989.9
2005-01-01,136811.1
2005-04-01,138734.6
2005-07-01,139779.8
2005-10-01,141330.2
2006-01-01,143401.2
2006-04-01,144130.0
2006-07-01,145053.1
2006-10-01,146819.7
2007-01-01,148063.5
2007-04-01,150070.3
2007-07-01,151208.4
2007-10-01,152728.3
2008-01-01,153856.9
2008-04-01,156316.6
2008-07-01,156799.5
2008-10-01,151996.3
2009-01-01,149083.8
2009-04-01,149965.3
2009-07-01,152412.1
2009-10-01,153278.0
2010-01-01,154520.7
2010-04-01,155509.1
2010-07-01,156531.4
2010-10-01,157796.7
2011-01-01,158741.6
2011-04-01,159331.6
2011-07-01,158772.1
2011-10-01,158884.7
2012-01-01,160243.6
2012-04-01,160084.7
2012-07-01,161348.2
2012-10-01,161514.4
2013-01-01,161847.7
2013-04-01,163458.8
2013-07-01,164583.5
2013-10-01,164777.1
2014-01-01,165639.6
2014-04-01,166981.3
2014-07-01,168206.3
2014-10-01,169320.6
2015-01-01,168715.9
2015-04-01,169659.9
2015-07-01,170990.0
2015-10-01,171854.1
2016-01-01,172218.4
2016-04-01,173713.0
2016-07-01,174506.2
2016-10-01,174834.6
2017-01-01,175408.1
2017-04-01,175224.7
2017-07-01,176175.0
2017-10-01,177966.2
2018-01-01,180057.5
2018-04-01,182048.1
2018-07-01,181061.3
2018-10-01,181726.1
2019-01-01,181960.9
2019-04-01,182673.8
2019-07-01,183805.7
2019-10-01,184774.5
2020-01-01,182290.1
2020-04-01,169183.0
2020-07-01,181830.5
2020-10-01,182467.1
2021-01-01,181946.2
2021-04-01,185631.8
2021-07-01,188982.5
2021-10-01,189340.6
2022-01-01,190077.2
2022-04-01,190218.9
2022-07-01,190512.7
2022-10-01,190588.2
