,CPI,GDP,INT,UNEMP
0,12,542,3,5
1,12,541,2,5
2,12,545,1,6
3,12,540,2,6
4,12,545,1,6
5,12,555,1,6
6,12,567,2,6
7,13,580,2,5
8,13,594,2,5
9,13,600,2,5
10,13,609,2,5
11,13,612,2,5
12,13,621,2,5
13,13,629,3,5
14,13,644,3,5
15,13,653,3,5
16,13,669,3,5
17,13,678,3,5
18,13,692,3,5
19,13,697,4,4
20,13,717,4,4
21,13,730,4,4
22,13,749,4,4
23,13,771,4,3
24,13,795,5,3
25,14,804,5,3
26,14,819,5,3
27,14,833,4,3
28,14,844,3,3
29,14,848,3,3
30,14,865,4,3
31,14,881,5,3
32,14,909,6,3
33,14,934,5,3
34,15,950,6,3
35,15,968,6,3
36,15,993,8,3
37,15,1009,9,3
38,16,1029,8,3
39,16,1038,7,4
40,16,1051,7,4
41,16,1067,6,5
42,16,1086,4,6
43,17,1088,3,6
44,17,1135,4,5
45,17,1156,5,6
46,17,1177,4,6
47,17,1190,3,5
48,17,1230,4,5
49,18,1266,4,5
50,18,1290,5,5
51,18,1328,7,4
52,18,1377,8,4
53,19,1413,10,4
54,19,1433,9,4
55,19,1476,9,5
56,20,1491,11,5
57,21,1530,11,5
58,21,1560,8,7
59,22,1599,5,8
60,22,1616,5,8
61,23,1651,6,8
62,23,1709,5,8
63,23,1761,4,7
64,24,1820,5,7
65,24,1852,5,7
66,24,1886,4,7
67,25,1934,4,7
68,25,1988,5,7
69,26,2055,6,6
70,26,2118,6,6
71,26,2164,6,6
72,27,2202,7,5
73,28,2331,8,6
74,28,2395,10,6
75,29,2476,10,5
76,29,2526,10,5
77,31,2591,11,5
78,32,2667,13,6
79,32,2723,17,6
80,34,2789,9,7
81,35,2797,10,7
82,36,2856,18,7
83,37,2985,14,7
84,38,3124,19,7
85,38,3162,15,7
86,40,3260,12,8
87,40,3280,14,9
88,40,3274,14,9
89,41,3331,10,10
90,42,3366,8,10
91,42,3402,8,10
92,42,3473,8,10
93,42,3578,9,9
94,43,3689,9,8
95,43,3794,9,7
96,43,3908,11,7
97,44,4009,11,7
98,44,4084,8,7
99,45,4148,8,7
100,45,4230,7,7
101,46,4294,7,7
102,46,4386,8,7
103,46,4444,7,7
104,46,4507,6,7
105,46,4545,5,7
106,46,4607,6,6
107,47,4657,6,6
108,47,4722,6,6
109,48,4806,7,5
110,48,4884,6,5
111,49,5007,6,5
112,49,5073,7,5
113,50,5190,8,5
114,50,5282,8,5
115,51,5399,9,5
116,51,5511,9,5
117,52,5612,9,5
118,53,5695,8,5
119,53,5747,8,5
120,54,5872,8,5
121,55,5960,8,5
122,56,6015,7,6
123,56,6004,6,6
124,57,6035,5,6
125,57,6126,5,6
126,58,6205,4,7
127,58,6264,3,7
128,58,6363,3,7
129,59,6470,3,7
130,59,6566,2,7
131,60,6680,3,7
132,60,6729,3,7
133,61,6808,3,6
134,61,6882,2,6
135,61,7013,3,6
136,62,7115,4,6
137,62,7246,4,5
138,63,7331,5,5
139,63,7455,5,5
140,63,7522,6,5
141,64,7580,5,5
142,64,7683,5,5
143,65,7772,5,5
144,65,7868,5,5
145,66,8032,5,5
146,66,8131,5,5
147,67,8259,5,5
148,67,8362,5,5
149,67,8518,5,4
150,68,8662,5,4
151,68,8765,5,4
152,68,8866,5,4
153,68,8969,5,4
154,69,9121,4,4
155,69,9293,4,4
156,69,9411,4,4
157,70,9526,5,4
158,70,9686,5,4
159,71,9900,5,4
160,71,10002,6,4
161,72,10247,6,3
162,73,10318,6,3
163,73,10435,5,4
164,74,10470,3,4
165,75,10599,3,5
166,75,10598,1,5
167,74,10660,1,5
168,75,10783,1,5
169,75,10887,1,5
170,76,10984,1,6
171,76,11061,1,5
172,77,11174,1,6
173,77,11312,1,6
174,77,11566,0,5
175,77,11772,1,5
176,78,11923,1,5
177,79,12112,1,5
178,79,12305,2,5
179,80,12527,2,5
180,80,12767,3,5
181,82,12922,3,5
182,83,13142,4,4
183,83,13324,4,4
184,83,13599,4,4
185,85,13753,5,4
186,85,13870,5,4
187,84,14039,5,4
188,85,14215,5,4
189,87,14402,4,4
190,87,14564,4,5
191,88,14715,2,5
192,89,14706,2,5
193,91,14865,1,6
194,92,14898,0,7
195,89,14608,0,8
196,89,14430,0,9
197,90,14381,0,9
198,91,14448,0,9
199,91,14651,0,9
200,91,14764,0,9
201,92,14980,0,9
202,92,15141,0,9
203,92,15309,0,9
204,94,15351,0,9
205,95,15557,0,9
206,96,15647,0,8
207,96,15842,0,8
208,96,16068,0,8
209,97,16207,0,7
210,97,16319,0,7
211,97,16420,0,7
212,98,16629,0,7
213,98,16699,0,7
214,99,16911,0,6
215,98,17133,0,6
216,99,17144,0,6
217,100,17462,0,5
218,101,17743,0,5
219,99,17852,0,5
220,99,17991,0,5
221,100,18193,0,5
222,100,18306,0,5
223,99,18332,0,5
224,99,18425,0,4
225,101,18611,0,5
226,101,18775,0,4
227,101,18968,0,4
228,102,19148,1,4
229,102,19304,1,4
230,103,19561,1,4
231,103,19894,1,4
232,104,20155,1,4
233,105,20470,1,3
234,106,20687,2,3
235,106,20819,2,3
236,106,21013,2,3
237,107,21272,2,3
238,107,21531,1,3
239,108,21706,0,4
240,108,21538,0,11
241,107,19636,0,7
242,109,21362,0,6
243,109,21704,0,6
244,110,22313,0,5
245,113,23046,0,4
246,115,23550,0,3
247,117,24349,0,3
248,120,24740,1,3
249,124,25248,2,3
250,125,25723,4,3
251,126,26137,4,3
