DATE,SPENDING_PERCENT_OF_GDP
1929Q1,0.70202
1929Q2,0.70202
1929Q3,0.70202
1929Q4,0.70202
1930Q1,0.80078
1930Q2,0.80078
1930Q3,0.80078
1930Q4,0.80078
1931Q1,-0.59697
1931Q2,-0.59697
1931Q3,-0.59697
1931Q4,-0.59697
1932Q1,-4.59494
1932Q2,-4.59494
1932Q3,-4.59494
1932Q4,-4.59494
1933Q1,-4.55261
1933Q2,-4.55261
1933Q3,-4.55261
1933Q4,-4.55261
1934Q1,-5.36826
1934Q2,-5.36826
1934Q3,-5.36826
1934Q4,-5.36826
1935Q1,-3.77554
1935Q2,-3.77554
1935Q3,-3.77554
1935Q4,-3.77554
1936Q1,-5.07368
1936Q2,-5.07368
1936Q3,-5.07368
1936Q4,-5.07368
1937Q1,-2.35799
1937Q2,-2.35799
1937Q3,-2.35799
1937Q4,-2.35799
1938Q1,-0.10189
1938Q2,-0.10189
1938Q3,-0.10189
1938Q4,-0.10189
1939Q1,-3.0459
1939Q2,-3.0459
1939Q3,-3.0459
1939Q4,-3.0459
1940Q1,-2.83773
1940Q2,-2.83773
1940Q3,-2.83773
1940Q4,-2.83773
1941Q1,-3.82108
1941Q2,-3.82108
1941Q3,-3.82108
1941Q4,-3.82108
1942Q1,-12.35478
1942Q2,-12.35478
1942Q3,-12.35478
1942Q4,-12.35478
1943Q1,-26.86278
1943Q2,-26.86278
1943Q3,-26.86278
1943Q4,-26.86278
1944Q1,-21.18852
1944Q2,-21.18852
1944Q3,-21.18852
1944Q4,-21.18852
1945Q1,-20.85594
1945Q2,-20.85594
1945Q3,-20.85594
1945Q4,-20.85594
1946Q1,-7.00376
1946Q2,-7.00376
1946Q3,-7.00376
1946Q4,-7.00376
1947Q1,1.60967
1947Q2,1.60967
1947Q3,1.60967
1947Q4,1.60967
1948Q1,4.29777
1948Q2,4.29777
1948Q3,4.29777
1948Q4,4.29777
1949Q1,0.21286
1949Q2,0.21286
1949Q3,0.21286
1949Q4,0.21286
1950Q1,-1.04027
1950Q2,-1.04027
1950Q3,-1.04027
1950Q4,-1.04027
1951Q1,1.75894
1951Q2,1.75894
1951Q3,1.75894
1951Q4,1.75894
1952Q1,-0.41351
1952Q2,-0.41351
1952Q3,-0.41351
1952Q4,-0.41351
1953Q1,-1.66822
1953Q2,-1.66822
1953Q3,-1.66822
1953Q4,-1.66822
1954Q1,-0.29548
1954Q2,-0.29548
1954Q3,-0.29548
1954Q4,-0.29548
1955Q1,-0.70344
1955Q2,-0.70344
1955Q3,-0.70344
1955Q4,-0.70344
1956Q1,0.87837
1956Q2,0.87837
1956Q3,0.87837
1956Q4,0.87837
1957Q1,0.71977
1957Q2,0.71977
1957Q3,0.71977
1957Q4,0.71977
1958Q1,-0.5754
1958Q2,-0.5754
1958Q3,-0.5754
1958Q4,-0.5754
1959Q1,-2.46313
1959Q2,-2.46313
1959Q3,-2.46313
1959Q4,-2.46313
1960Q1,0.0555
1960Q2,0.0555
1960Q3,0.0555
1960Q4,0.0555
1961Q1,-0.5932
1961Q2,-0.5932
1961Q3,-0.5932
1961Q4,-0.5932
1962Q1,-1.18327
1962Q2,-1.18327
1962Q3,-1.18327
1962Q4,-1.18327
1963Q1,-0.7461
1963Q2,-0.7461
1963Q3,-0.7461
1963Q4,-0.7461
1964Q1,-0.86418
1964Q2,-0.86418
1964Q3,-0.86418
1964Q4,-0.86418
1965Q1,-0.19009
1965Q2,-0.19009
1965Q3,-0.19009
1965Q4,-0.19009
1966Q1,-0.45463
1966Q2,-0.45463
1966Q3,-0.45463
1966Q4,-0.45463
1967Q1,-1.00505
1967Q2,-1.00505
1967Q3,-1.00505
1967Q4,-1.00505
1968Q1,-2.67485
1968Q2,-2.67485
1968Q3,-2.67485
1968Q4,-2.67485
1969Q1,0.31859
1969Q2,0.31859
1969Q3,0.31859
1969Q4,0.31859
1970Q1,-0.26479
1970Q2,-0.26479
1970Q3,-0.26479
1970Q4,-0.26479
1971Q1,-1.97734
1971Q2,-1.97734
1971Q3,-1.97734
1971Q4,-1.97734
1972Q1,-1.82729
1972Q2,-1.82729
1972Q3,-1.82729
1972Q4,-1.82729
1973Q1,-1.0459
1973Q2,-1.0459
1973Q3,-1.0459
1973Q4,-1.0459
1974Q1,-0.39702
1974Q2,-0.39702
1974Q3,-0.39702
1974Q4,-0.39702
1975Q1,-3.15994
1975Q2,-3.15994
1975Q3,-3.15994
1975Q4,-3.15994
1976Q1,-3.93571
1976Q2,-3.93571
1976Q3,-3.93571
1976Q4,-3.93571
1977Q1,-2.5775
1977Q2,-2.5775
1977Q3,-2.5775
1977Q4,-2.5775
1978Q1,-2.5168
1978Q2,-2.5168
1978Q3,-2.5168
1978Q4,-2.5168
1979Q1,-1.55009
1979Q2,-1.55009
1979Q3,-1.55009
1979Q4,-1.55009
1980Q1,-2.5839
1980Q2,-2.5839
1980Q3,-2.5839
1980Q4,-2.5839
1981Q1,-2.46233
1981Q2,-2.46233
1981Q3,-2.46233
1981Q4,-2.46233
1982Q1,-3.8273
1982Q2,-3.8273
1982Q3,-3.8273
1982Q4,-3.8273
1983Q1,-5.71821
1983Q2,-5.71821
1983Q3,-5.71821
1983Q4,-5.71821
1984Q1,-4.591
1984Q2,-4.591
1984Q3,-4.591
1984Q4,-4.591
1985Q1,-4.89304
1985Q2,-4.89304
1985Q3,-4.89304
1985Q4,-4.89304
1986Q1,-4.83067
1986Q2,-4.83067
1986Q3,-4.83067
1986Q4,-4.83067
1987Q1,-3.0839
1987Q2,-3.0839
1987Q3,-3.0839
1987Q4,-3.0839
1988Q1,-2.96343
1988Q2,-2.96343
1988Q3,-2.96343
1988Q4,-2.96343
1989Q1,-2.70561
1989Q2,-2.70561
1989Q3,-2.70561
1989Q4,-2.70561
1990Q1,-3.7067
1990Q2,-3.7067
1990Q3,-3.7067
1990Q4,-3.7067
1991Q1,-4.37207
1991Q2,-4.37207
1991Q3,-4.37207
1991Q4,-4.37207
1992Q1,-4.45255
1992Q2,-4.45255
1992Q3,-4.45255
1992Q4,-4.45255
1993Q1,-3.71873
1993Q2,-3.71873
1993Q3,-3.71873
1993Q4,-3.71873
1994Q1,-2.78825
1994Q2,-2.78825
1994Q3,-2.78825
1994Q4,-2.78825
1995Q1,-2.14604
1995Q2,-2.14604
1995Q3,-2.14604
1995Q4,-2.14604
1996Q1,-1.33072
1996Q2,-1.33072
1996Q3,-1.33072
1996Q4,-1.33072
1997Q1,-0.25513
1997Q2,-0.25513
1997Q3,-0.25513
1997Q4,-0.25513
1998Q1,0.76433
1998Q2,0.76433
1998Q3,0.76433
1998Q4,0.76433
1999Q1,1.3042
1999Q2,1.3042
1999Q3,1.3042
1999Q4,1.3042
2000Q1,2.30458
2000Q2,2.30458
2000Q3,2.30458
2000Q4,2.30458
2001Q1,1.21184
2001Q2,1.21184
2001Q3,1.21184
2001Q4,1.21184
2002Q1,-1.44347
2002Q2,-1.44347
2002Q3,-1.44347
2002Q4,-1.44347
2003Q1,-3.29583
2003Q2,-3.29583
