,0
1929Q1,0.70202
1930Q1,0.80078
1931Q1,-0.59697
1932Q1,-4.59494
1933Q1,-4.55261
1934Q1,-5.36826
1935Q1,-3.77554
1936Q1,-5.07368
1937Q1,-2.35799
1938Q1,-0.10189
1939Q1,-3.0459
1940Q1,-2.83773
1941Q1,-3.82108
1942Q1,-12.35478
1943Q1,-26.86278
1944Q1,-21.18852
1945Q1,-20.85594
1946Q1,-7.00376
1947Q1,1.60967
1948Q1,4.29777
1949Q1,0.21286
1950Q1,-1.04027
1951Q1,1.75894
1952Q1,-0.41351
1953Q1,-1.66822
1954Q1,-0.29548
1955Q1,-0.70344
1956Q1,0.87837
1957Q1,0.71977
1958Q1,-0.5754
1959Q1,-2.46313
1960Q1,0.0555
1961Q1,-0.5932
1962Q1,-1.18327
1963Q1,-0.7461
1964Q1,-0.86418
1965Q1,-0.19009
1966Q1,-0.45463
1967Q1,-1.00505
1968Q1,-2.67485
1969Q1,0.31859
1970Q1,-0.26479
1971Q1,-1.97734
1972Q1,-1.82729
1973Q1,-1.0459
1974Q1,-0.39702
1975Q1,-3.15994
1976Q1,-3.93571
1977Q1,-2.5775
1978Q1,-2.5168
1979Q1,-1.55009
1980Q1,-2.5839
1981Q1,-2.46233
1982Q1,-3.8273
1983Q1,-5.71821
1984Q1,-4.591
1985Q1,-4.89304
1986Q1,-4.83067
1987Q1,-3.0839
1988Q1,-2.96343
1989Q1,-2.70561
1990Q1,-3.7067
1991Q1,-4.37207
1992Q1,-4.45255
1993Q1,-3.71873
1994Q1,-2.78825
1995Q1,-2.14604
1996Q1,-1.33072
1997Q1,-0.25513
1998Q1,0.76433
1999Q1,1.3042
2000Q1,2.30458
2001Q1,1.21184
2002Q1,-1.44347
2003Q1,-3.29583
2004Q1,-3.37825
2005Q1,-2.44145
2006Q1,-1.79638
2007Q1,-1.11026
2008Q1,-3.10465
2009Q1,-9.75744
2010Q1,-8.60107
2011Q1,-8.33091
2012Q1,-6.62345
2013Q1,-4.0359
2014Q1,-2.76225
2015Q1,-2.42755
2016Q1,-3.12729
2017Q1,-3.41653
2018Q1,-3.79456
2019Q1,-4.60033
2020Q1,-14.87363
2021Q1,-11.90371
2022Q1,-5.40368
