,0
1948Q1,4.0
1948Q2,3.6
1948Q3,3.8
1948Q4,4.0
1949Q1,5.0
1949Q2,6.2
1949Q3,6.6
1949Q4,6.6
1950Q1,6.3
1950Q2,5.4
1950Q3,4.4
1950Q4,4.3
1951Q1,3.4
1951Q2,3.2
1951Q3,3.3
1951Q4,3.1
1952Q1,2.9
1952Q2,3.0
1952Q3,3.1
1952Q4,2.7
1953Q1,2.6
1953Q2,2.5
1953Q3,2.9
1953Q4,4.5
1954Q1,5.7
1954Q2,5.6
1954Q3,6.1
1954Q4,5.0
1955Q1,4.6
1955Q2,4.2
1955Q3,4.1
1955Q4,4.2
1956Q1,4.2
1956Q2,4.3
1956Q3,3.9
1956Q4,4.2
1957Q1,3.7
1957Q2,4.3
1957Q3,4.4
1957Q4,5.2
1958Q1,6.7
1958Q2,7.3
1958Q3,7.1
1958Q4,6.2
1959Q1,5.6
1959Q2,5.0
1959Q3,5.5
1959Q4,5.3
1960Q1,5.4
1960Q2,5.4
1960Q3,5.5
1960Q4,6.6
1961Q1,6.9
1961Q2,6.9
1961Q3,6.7
1961Q4,6.0
1962Q1,5.6
1962Q2,5.5
1962Q3,5.6
1962Q4,5.5
1963Q1,5.7
1963Q2,5.6
1963Q3,5.5
1963Q4,5.5
1964Q1,5.4
1964Q2,5.2
1964Q3,5.1
1964Q4,5.0
1965Q1,4.7
1965Q2,4.6
1965Q3,4.3
1965Q4,4.0
1966Q1,3.8
1966Q2,3.8
1966Q3,3.7
1966Q4,3.8
1967Q1,3.8
1967Q2,3.9
1967Q3,3.8
1967Q4,3.8
1968Q1,3.7
1968Q2,3.7
1968Q3,3.4
1968Q4,3.4
1969Q1,3.4
1969Q2,3.5
1969Q3,3.7
1969Q4,3.5
1970Q1,4.4
1970Q2,4.9
1970Q3,5.4
1970Q4,6.1
1971Q1,6.0
1971Q2,5.9
1971Q3,6.0
1971Q4,6.0
1972Q1,5.8
1972Q2,5.7
1972Q3,5.5
1972Q4,5.2
1973Q1,4.9
1973Q2,4.9
1973Q3,4.8
1973Q4,4.9
1974Q1,5.1
1974Q2,5.4
1974Q3,5.9
1974Q4,7.2
1975Q1,8.6
1975Q2,8.8
1975Q3,8.4
1975Q4,8.2
1976Q1,7.6
1976Q2,7.6
1976Q3,7.6
1976Q4,7.8
1977Q1,7.4
1977Q2,7.2
1977Q3,6.8
1977Q4,6.4
1978Q1,6.3
1978Q2,5.9
1978Q3,6.0
1978Q4,6.0
1979Q1,5.8
1979Q2,5.7
1979Q3,5.9
1979Q4,6.0
1980Q1,6.3
1980Q2,7.6
1980Q3,7.5
1980Q4,7.2
1981Q1,7.4
1981Q2,7.5
1981Q3,7.6
1981Q4,8.5
1982Q1,9.0
1982Q2,9.6
1982Q3,10.1
1982Q4,10.8
1983Q1,10.3
1983Q2,10.1
1983Q3,9.2
1983Q4,8.3
1984Q1,7.8
1984Q2,7.2
1984Q3,7.3
1984Q4,7.3
1985Q1,7.2
1985Q2,7.4
1985Q3,7.1
1985Q4,7.0
1986Q1,7.2
1986Q2,7.2
1986Q3,7.0
1986Q4,6.6
1987Q1,6.6
1987Q2,6.2
1987Q3,5.9
1987Q4,5.7
1988Q1,5.7
1988Q2,5.4
1988Q3,5.4
1988Q4,5.3
1989Q1,5.0
1989Q2,5.3
1989Q3,5.3
1989Q4,5.4
