,0
1995Q1,1835999.0
1995Q2,1846613.4
1995Q3,1853115.4
1995Q4,1859777.2
1996Q1,1862149.7
1996Q2,1875050.5
1996Q3,1884736.9
1996Q4,1893641.1
1997Q1,1898459.7
1997Q2,1921610.5
1997Q3,1937276.7
1997Q4,1958989.7
1998Q1,1971615.3
1998Q2,1980279.6
1998Q3,1992219.2
1998Q4,1994689.3
1999Q1,2016807.0
1999Q2,2025919.3
1999Q3,2048963.7
1999Q4,2072557.1
2000Q1,2098267.5
2000Q2,2117520.6
2000Q3,2129395.5
2000Q4,2143928.2
2001Q1,2165232.6
2001Q2,2167164.9
2001Q3,2169019.0
2001Q4,2171289.9
2002Q1,2174286.1
2002Q2,2185491.7
2002Q3,2193459.7
2002Q4,2198753.1
2003Q1,2191674.0
2003Q2,2193670.6
2003Q3,2205073.0
2003Q4,2221317.1
2004Q1,2232509.3
2004Q2,2246214.4
2004Q3,2251275.1
2004Q4,2260229.2
2005Q1,2264881.5
2005Q2,2278828.7
2005Q3,2295568.0
2005Q4,2310253.5
2006Q1,2330307.5
2006Q2,2356089.3
2006Q3,2370217.3
2006Q4,2397961.0
2007Q1,2412257.0
2007Q2,2429743.0
2007Q3,2440789.7
2007Q4,2453159.9
2008Q1,2465755.1
2008Q2,2457472.8
2008Q3,2444616.2
2008Q4,2399998.7
2009Q1,2325652.2
2009Q2,2325170.6
2009Q3,2334624.8
2009Q4,2344463.8
2010Q1,2354699.2
2010Q2,2377591.1
2010Q3,2387674.0
2010Q4,2401647.0
2011Q1,2423456.3
2011Q2,2422953.4
2011Q3,2426731.6
2011Q4,2416343.1
2012Q1,2411158.8
2012Q2,2404798.8
2012Q3,2402506.9
2012Q4,2391734.8
2013Q1,2383774.7
2013Q2,2396015.8
2013Q3,2403490.9
2013Q4,2410260.0
2014Q1,2420175.0
2014Q2,2425058.7
2014Q3,2436960.7
2014Q4,2445637.9
2015Q1,2461148.4
2015Q2,2472574.6
2015Q3,2482864.4
2015Q4,2494378.0
2016Q1,2508163.5
2016Q2,2513982.5
2016Q3,2526089.2
2016Q4,2545223.4
2017Q1,2562511.3
2017Q2,2582696.5
2017Q3,2602914.0
2017Q4,2623901.6
2018Q1,2623804.5
2018Q2,2637837.2
2018Q3,2638230.3
2018Q4,2655220.4
2019Q1,2671810.7
2019Q2,2680069.7
2019Q3,2685893.2
2019Q4,2686488.3
2020Q1,2596185.0
2020Q2,2298552.9
2020Q3,2582728.5
2020Q4,2576073.6
2021Q1,2575146.5
2021Q2,2625825.0
2021Q3,2685672.3
2021Q4,2700610.6
2022Q1,2717203.6
2022Q2,2741071.5
2022Q3,2751221.8
2022Q4,2750344.2
