,0
1954Q3,1.07
1954Q4,1.28
1955Q1,1.35
1955Q2,1.64
1955Q3,2.18
1955Q4,2.48
1956Q1,2.5
1956Q2,2.71
1956Q3,2.95
1956Q4,2.94
1957Q1,2.96
1957Q2,3.0
1957Q3,3.47
1957Q4,2.98
1958Q1,1.2
1958Q2,0.93
1958Q3,1.76
1958Q4,2.42
1959Q1,2.8
1959Q2,3.39
1959Q3,3.76
1959Q4,3.99
1960Q1,3.84
1960Q2,3.32
1960Q3,2.6
1960Q4,1.98
1961Q1,2.02
1961Q2,1.73
1961Q3,1.88
1961Q4,2.33
1962Q1,2.85
1962Q2,2.68
1962Q3,2.9
1962Q4,2.93
1963Q1,2.98
1963Q2,2.99
1963Q3,3.48
1963Q4,3.38
1964Q1,3.43
1964Q2,3.5
1964Q3,3.45
1964Q4,3.85
1965Q1,4.05
1965Q2,4.05
1965Q3,4.02
1965Q4,4.32
1966Q1,4.66
1966Q2,5.17
1966Q3,5.4
1966Q4,5.4
1967Q1,4.53
1967Q2,3.98
1967Q3,3.99
1967Q4,4.51
1968Q1,5.05
1968Q2,6.07
1968Q3,5.78
1968Q4,6.02
1969Q1,6.79
1969Q2,8.9
1969Q3,9.15
1969Q4,8.97
1970Q1,7.76
1970Q2,7.61
1970Q3,6.29
1970Q4,4.9
1971Q1,3.71
1971Q2,4.91
1971Q3,5.55
1971Q4,4.14
1972Q1,3.83
1972Q2,4.46
1972Q3,4.87
1972Q4,5.33
1973Q1,7.09
1973Q2,8.49
1973Q3,10.78
1973Q4,9.95
1974Q1,9.35
1974Q2,11.93
1974Q3,11.34
1974Q4,8.53
1975Q1,5.54
1975Q2,5.55
1975Q3,6.24
1975Q4,5.2
1976Q1,4.84
1976Q2,5.48
1976Q3,5.25
1976Q4,4.65
1977Q1,4.69
1977Q2,5.39
1977Q3,6.14
1977Q4,6.56
1978Q1,6.79
1978Q2,7.6
1978Q3,8.45
1978Q4,10.03
1979Q1,10.09
1979Q2,10.29
1979Q3,11.43
1979Q4,13.78
1980Q1,17.19
1980Q2,9.47
1980Q3,10.87
1980Q4,18.9
1981Q1,14.7
1981Q2,19.1
1981Q3,15.87
1981Q4,12.37
1982Q1,14.68
1982Q2,14.15
1982Q3,10.31
1982Q4,8.95
1983Q1,8.77
1983Q2,8.98
1983Q3,9.45
1983Q4,9.47
1984Q1,9.91
1984Q2,11.06
1984Q3,11.3
1984Q4,8.38
1985Q1,8.58
1985Q2,7.53
1985Q3,7.92
1985Q4,8.27
1986Q1,7.48
1986Q2,6.92
1986Q3,5.89
1986Q4,6.91
1987Q1,6.13
1987Q2,6.73
1987Q3,7.22
1987Q4,6.77
1988Q1,6.58
1988Q2,7.51
1988Q3,8.19
1988Q4,8.76
1989Q1,9.85
1989Q2,9.53
1989Q3,9.02
1989Q4,8.45
1990Q1,8.28
1990Q2,8.29
1990Q3,8.2
1990Q4,7.31
1991Q1,6.12
1991Q2,5.9
1991Q3,5.45
1991Q4,4.43
1992Q1,3.98
1992Q2,3.76
1992Q3,3.22
1992Q4,2.92
1993Q1,3.07
1993Q2,3.04
1993Q3,3.09
1993Q4,2.96
1994Q1,3.34
1994Q2,4.25
1994Q3,4.73
1994Q4,5.45
1995Q1,5.98
1995Q2,6.0
1995Q3,5.8
1995Q4,5.6
1996Q1,5.31
1996Q2,5.27
1996Q3,5.3
1996Q4,5.29
1997Q1,5.39
1997Q2,5.56
1997Q3,5.54
1997Q4,5.5
1998Q1,5.49
1998Q2,5.56
1998Q3,5.51
1998Q4,4.68
1999Q1,4.81
1999Q2,4.76
1999Q3,5.22
1999Q4,5.3
2000Q1,5.85
2000Q2,6.53
2000Q3,6.52
2000Q4,6.4
2001Q1,5.31
2001Q2,3.97
2001Q3,3.07
2001Q4,1.82
2002Q1,1.73
2002Q2,1.75
2002Q3,1.75
2002Q4,1.24
2003Q1,1.25
2003Q2,1.22
2003Q3,1.01
2003Q4,0.98
2004Q1,1.0
2004Q2,1.03
2004Q3,1.61
2004Q4,2.16
2005Q1,2.63
2005Q2,3.04
2005Q3,3.62
2005Q4,4.16
2006Q1,4.59
2006Q2,4.99
2006Q3,5.25
2006Q4,5.24
2007Q1,5.26
2007Q2,5.25
2007Q3,4.94
2007Q4,4.24
2008Q1,2.61
2008Q2,2.0
2008Q3,1.81
2008Q4,0.16
2009Q1,0.18
2009Q2,0.21
2009Q3,0.15
2009Q4,0.12
2010Q1,0.16
2010Q2,0.18
2010Q3,0.19
2010Q4,0.18
2011Q1,0.14
2011Q2,0.09
2011Q3,0.08
2011Q4,0.07
2012Q1,0.13
2012Q2,0.16
2012Q3,0.14
2012Q4,0.16
2013Q1,0.14
2013Q2,0.09
2013Q3,0.08
2013Q4,0.09
2014Q1,0.08
2014Q2,0.1
2014Q3,0.09
2014Q4,0.12
2015Q1,0.11
2015Q2,0.13
2015Q3,0.14
2015Q4,0.24
2016Q1,0.36
2016Q2,0.38
2016Q3,0.4
2016Q4,0.54
2017Q1,0.79
2017Q2,1.04
2017Q3,1.15
2017Q4,1.3
2018Q1,1.51
2018Q2,1.82
2018Q3,1.95
2018Q4,2.27
2019Q1,2.41
2019Q2,2.38
2019Q3,2.04
2019Q4,1.55
2020Q1,0.65
2020Q2,0.08
2020Q3,0.09
2020Q4,0.09
2021Q1,0.07
2021Q2,0.08
2021Q3,0.08
2021Q4,0.08
2022Q1,0.2
2022Q2,1.21
2022Q3,2.56
2022Q4,4.1
2023Q1,4.65
